frame_number,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
108,6.0,[466.6516631843681 729.967290460643 833.2715661160248 1015.6753003344274],[594.5101318359375 905.8428955078125 694.5625 953.33349609375],0.6039186120033264,GX15OGJ,0.4794552025521156
109,6.0,[464.70751999149763 731.9321724256793 832.1705874740641 1019.7027173875233],[588.4049682617188 905.2406616210938 691.0086669921875 955.6188354492188],0.596121609210968,GX15OGJ,0.49831159838353145
110,6.0,[463.7903749368371 735.0242866282701 831.7108734703048 1024.341776210948],[591.6175537109375 913.6640625 692.6102905273438 961.1781005859375],0.5838840007781982,GX15OGJ,0.5899745608732092
110,1.0,[1028.23834255627 563.497202544672 1282.5261204828282 787.3086585234531],[1107.2164306640625 698.4466552734375 1204.2154541015625 741.3072509765625],0.47384265065193176,AP05JEO,0.19452733500851774
110,8.0,[576.2263135884775 527.0951891481062 811.9733972329991 731.9944531453244],[654.4470825195312 641.8861083984375 733.3855590820312 681.4960327148438],0.38590818643569946,KH05ZIX,0.07733502855577014
111,6.0,[462.66643125451435 738.9761410789015 830.7373083286028 1029.315622320267],[590.3761596679688 916.1922607421875 695.4759521484375 965.3839111328125],0.5988130569458008,GX15OGJ,0.380093701235132
111,8.0,[575.5710691913297 529.0196662143068 812.1315388797426 735.0174725707033],[652.524658203125 641.3880615234375 734.6687622070312 683.1831665039062],0.43699944019317627,KH05ZZA,0.06741637274264942
112,6.0,[461.4384614603857 741.4203908057855 831.1981982712568 1032.3783564350085],[590.6993408203125 920.9219970703125 694.9894409179688 970.9947509765625],0.5580245852470398,GX15OGJ,0.2960281576167768
113,8.0,[574.7008249228176 530.4644959949038 811.8205109447691 737.68712867789],[653.6475219726562 644.5578002929688 732.9179077148438 686.212646484375],0.4409831762313843,KH05ZIA,0.18518367688563606
113,1.0,[1027.9261461336755 567.830984873546 1286.8946402327329 792.3925587392648],[1102.146728515625 703.3859252929688 1213.537109375 749.643310546875],0.3366715610027313,LP03JEQ,0.0626302854216819
114,6.0,[454.96468294676606 749.2671750341717 828.07513980352 1043.8025288355132],[586.3427734375 930.6810302734375 686.0374755859375 979.5465698242188],0.6275361180305481,GX15OGJ,0.46972256376136606
114,8.0,[574.1821642949544 531.7086783248476 811.2225410142325 739.2632750595869],[653.1826782226562 647.849853515625 731.2240600585938 689.256591796875],0.5050948262214661,KK05ZIK,0.06391979133987512
114,1.0,[1026.3131227943768 568.9252831874227 1287.205918927918 794.7466067353554],[1108.212646484375 707.937744140625 1211.98583984375 750.2012329101562],0.40753495693206787,LP05JEO,0.06166148796560141
115,6.0,[452.20742193297656 752.1477977051161 827.8266814019366 1047.9433799086462],[583.642822265625 932.7067260742188 690.0053100585938 980.8387451171875],0.5895267128944397,GX15OGJ,0.5199807295006464
115,1.0,[1026.2371673918774 569.8369666783146 1288.478351532879 796.1498215712618],[1109.4990234375 710.897705078125 1214.365966796875 754.802001953125],0.48353150486946106,KP05JEO,0.1098012387493215
116,6.0,[449.9402969216934 755.7399546291305 827.4928542805836 1051.4950996059015],[582.335693359375 938.7808227539062 677.31982421875 984.1583862304688],0.5727513432502747,GX15OGJ,0.645118778436976
116,8.0,[573.6633894281841 534.7354737706037 810.1569400265802 741.9520991085649],[654.2202758789062 651.3948974609375 729.3781127929688 690.90283203125],0.5259941220283508,KR05ZIK,0.21874208682147955
116,1.0,[1027.2111275973523 571.1068063893453 1290.3859252810728 798.6377719702872],[1101.469970703125 708.3272094726562 1217.4248046875 755.967041015625],0.47747287154197693,LP05JBO,0.08063053220182882
117,6.0,[447.3059187459889 759.0555157113962 826.0810671707177 1054.466110248513],[578.6055908203125 942.4616088867188 690.9986572265625 991.925537109375],0.5794140100479126,GX15OGJ,0.6808294019506513
118,6.0,[445.9719980373851 761.4253695657678 825.7457480834358 1056.0771163939655],[580.2015991210938 945.0057373046875 683.6292114257812 994.6923217773438],0.5733807682991028,GX15OGJ,0.3943008864663321
119,6.0,[444.7256831210417 764.502137477699 825.765612880287 1058.1592458412933],[575.9445190429688 949.3200073242188 676.8707885742188 999.6967163085938],0.5698056221008301,GX15OGJ,0.40139517154893506
119,1.0,[1026.8008599880704 577.7979944759659 1291.6534718214461 806.5009179108351],[1117.3602294921875 718.6056518554688 1219.3851318359375 762.8897094726562],0.44051679968833923,AP05JEO,0.2427377054232813
120,6.0,[441.2530996307312 768.103587319122 824.9409885046343 1061.5321389026087],[574.2446899414062 956.4453735351562 679.0733032226562 1004.6035766601562],0.6132259368896484,GX15OGJ,0.3691456841488939
120,1.0,[1026.9662164897966 580.4137439120321 1293.2367287741579 809.9899119144817],[1118.891845703125 723.4332885742188 1207.85302734375 762.384765625],0.5029116272926331,AP05JEQ,0.16661080969882686
121,6.0,[437.83156190446 771.4276302970541 824.0171618553759 1065.5672930657042],[573.267333984375 957.1942749023438 681.0709228515625 1005.8922729492188],0.6056280136108398,GX15OGJ,0.46751642546695144
